Seed,Sample Size,True Effect 1,True Effect 2,Causal Effect Estimate 1 (Cumulant),Causal Effect Estimate 2 (Cumulant),Causal Effect Estimate 1 (Min Norm),Causal Effect Estimate 2 (Min Norm),Distance to Line,GRICA Effect Estimate 1,GRICA Effect Estimate 2
9,1000,0.8443327692902787,0.8883384048360901,0.8376527545713114,0.9188339393231754,0.743963321723987,0.9892900239723047,-0.01743034545495573,0.5063565373420715,0.7667136788368225
9,100000,0.8443327692902787,0.8883384048360901,0.8663190524048249,0.8714702289571633,0.767740202562025,0.9510486463563166,-0.0006050758934787549,0.4872058928012848,0.7539476156234741
9,10000000,0.8443327692902787,0.8883384048360901,0.8490009303390998,0.8848857313535706,0.7754873538488046,0.9451998032646286,-0.0002572992827680453,0.4872058928012848,0.7539476156234741
10,10,-0.7086588609574537,-0.8634595523234674,-0.7624257257500708,-2.5871349566856208,-0.6426543145049798,0.02941719096261486,-0.001294276628126806,-0.8144134879112244,-1.4412026405334473
10,1000,-0.7086588609574537,-0.8634595523234674,-0.09639152320824373,-1.290653252005888,-0.6452311108447479,-0.39569073631144047,-0.2719016905887794,-0.9434460997581482,-1.3933862447738647
10,100000,-0.7086588609574537,-0.8634595523234674,-0.5158752707615183,-1.1118476768741157,-0.8574115039886024,-0.6832589033043438,0.003662354821896359,-1.0263983011245728,-1.1885349750518799
10,10000000,-0.7086588609574537,-0.8634595523234674,-0.8746835759728355,-0.6512143243170527,-0.8603465747764952,-0.6696345068867712,0.0005931354122201683,-1.0263983011245728,-1.1885349750518799
11,10,0.8391915990187898,-0.7871396717359516,2.1678461238616213,-2.170792881595085,0.8656830900987653,0.4329401334099635,-0.30754392477491405,1.6392579078674316,-1.3492099046707153
11,1000,0.8391915990187898,-0.7871396717359516,1.4756586098466866,-1.5540951541451986,0.15641838342380088,0.12303928573515993,-0.02846558891082141,1.4797985553741455,-1.3597736358642578
11,100000,0.8391915990187898,-0.7871396717359516,1.5756954877665441,-1.6334498842099683,0.09211544000867086,0.07976837072210613,-0.003296974228551111,1.5929697751998901,-1.552869439125061
11,10000000,0.8391915990187898,-0.7871396717359516,0.8156019018407467,-0.7561706829149288,0.09131278532716959,0.07917320907605709,-0.0029648346140630118,1.5929697751998901,-1.552869439125061
12,10,-0.6310277905053692,-0.6338590116424223,0.2914480457185787,-0.05109965516397036,0.27783712955853174,-0.09214120514724114,-0.3698429978029121,-0.21966692805290222,-0.508099377155304
12,1000,-0.6310277905053692,-0.6338590116424223,-0.793013936170005,-0.8890472916383865,-0.0268265886067732,0.022547509853238678,-0.04037650786527871,-0.7491694688796997,-1.0246317386627197
12,100000,-0.6310277905053692,-0.6338590116424223,-0.5962778258104598,-0.5979200668185563,-0.07526371100154114,0.05963522219344025,-0.004867166253618244,-0.8365082144737244,-1.0673352479934692
12,10000000,-0.6310277905053692,-0.6338590116424223,-0.6393540210679267,-0.6449523746225259,-0.08785483506365595,0.06796300309737736,-0.00019807070644871914,-0.8365082144737244,-1.0673352479934692
13,10,-0.5302869784689067,0.7625821338387831,-1.428573035155405,1.1958740888517496,0.13865074219810883,0.2234614521956705,-0.11763770594145949,-1.3897215127944946,0.564120888710022
13,1000,-0.5302869784689067,0.7625821338387831,-0.38326721315431633,0.3836500713020514,-0.03333162333426475,-0.0283130246058345,-0.16639948498867507,-1.1917883157730103,0.6413675546646118
13,100000,-0.5302869784689067,0.7625821338387831,-0.4926438447820986,0.7428523781885668,0.13200854910282783,0.13584614381297122,0.016965166827219647,-1.1922581195831299,0.7345840334892273
