Seed,Sample Size,True Effect,Effect Estimate,Cross Moment Effect Estimate,GRICA Effect Estimate
12,10,-0.7084904108881172,-0.22865020852644924,-6.508166382082978,-0.9076294302940369
12,1000,-0.7084904108881172,-0.6349875701829385,-1.5540577862468046,-0.5992701053619385
12,100000,-0.7084904108881172,0.13794105900017548,-0.693287827393111,-0.5945076942443848
12,10000000,-0.7084904108881172,-0.7082821633716329,-0.7094010248134779,-0.5945076942443848
13,10,-0.7719391806312388,-1.3199282186251482,-0.7693030756704767,-1.1174482107162476
13,1000,-0.7719391806312388,-0.6883113980283251,-0.6470782325001185,-1.1733880043029785
13,100000,-0.7719391806312388,-0.7987894127517436,-0.7177054313699511,-1.135040044784546
13,10000000,-0.7719391806312388,-0.7642439262447505,-0.7768885280790401,-1.135040044784546
14,10,-0.5840097048714953,-2.2689636004745437,-0.40919894054943556,-0.9400081634521484
14,1000,-0.5840097048714953,-0.5152978414006932,-0.7049664682774249,-0.7713143825531006
14,100000,-0.5840097048714953,-0.45887406508853973,-0.5711872487368885,-0.7670122385025024
14,10000000,-0.5840097048714953,-0.57443855117234,-0.5850383080148844,-0.7670122385025024
15,10,0.5842202330635312,0.2765283108975117,0.5298445975452393,0.5261779427528381
15,1000,0.5842202330635312,0.6742042350173927,0.5922303467830529,0.495167076587677
15,100000,0.5842202330635312,-0.46997604686964556,0.5814828334541419,0.5315937995910645
15,10000000,0.5842202330635312,0.6132390070132776,0.5850949307611953,0.5315937995910645
16,10,-0.617394902440879,-0.3260918996298728,-0.5859066993052126,-0.45098769664764404
16,1000,-0.617394902440879,-0.37937099349489245,-0.8910749770591245,-0.7095510363578796
16,100000,-0.617394902440879,-0.6311869687717607,-0.48040722933400065,-0.8281903266906738
16,10000000,-0.617394902440879,-0.6229990350280521,-0.5982621083490691,-0.8281903266906738
17,10,0.7609674461862619,0.7270054879030708,1.4486073123933751,1.2726798057556152
17,1000,0.7609674461862619,1.0921889134118894,0.4233175050412505,1.1367825269699097
17,100000,0.7609674461862619,0.7135064159059628,0.8193857814050006,1.1109496355056763
17,10000000,0.7609674461862619,0.7564064619584786,0.7630519992016368,1.1109496355056763
18,10,-0.6190894967423439,-3.2259423903597795,-0.2531882373085482,0.35356053709983826
18,1000,-0.6190894967423439,0.24578707499415325,-0.37933000709608183,-0.4822847843170166
18,100000,-0.6190894967423439,-0.6220324281305546,-0.6082699138486402,-0.4709421396255493
18,10000000,-0.6190894967423439,-0.6186555504512872,-0.6212806043842505,-0.4709421396255493
19,10,-0.6998637068195819,0.5762154175290898,-1.6699542616338123,-0.6921356916427612
19,1000,-0.6998637068195819,0.5086370275399379,-0.5673690712130994,-0.529256284236908
19,100000,-0.6998637068195819,-0.7159001023979891,-0.7018103102221479,-0.5892332792282104
19,10000000,-0.6998637068195819,-0.6983999612014076,-0.6998234462092711,-0.5892332792282104
20,10,-0.5146657225684343,-0.4921815210764276,-0.16782545293383797,-0.38448989391326904
20,1000,-0.5146657225684343,-0.8237870603545776,-0.6006994108905683,-0.27267372608184814
20,100000,-0.5146657225684343,-0.5170708529770646,-0.5295421076166553,-0.19361460208892822
20,10000000,-0.5146657225684343,-0.5133669284946353,-0.5137796097368764,-0.19361460208892822
21,10,-0.8454798578232894,1.6620797061379067,-0.6451427029353114,-0.9155672192573547
21,1000,-0.8454798578232894,1.4352428732211915,-0.8076240651148552,-0.5163854956626892
21,100000,-0.8454798578232894,-0.8722504559135852,-0.8516446887389552,-0.5322688221931458
21,10000000,-0.8454798578232894,-0.8419015324740526,-0.8453588438577632,-0.5322688221931458
22,10,-0.5024563465384393,-1.6858628502742734,-0.5034111846078768,-0.45022931694984436
22,1000,-0.5024563465384393,-1.4985845603635406,-0.3054201677695426,-0.7262421250343323
22,100000,-0.5024563465384393,-0.561756076824743,-0.5249455088231323,-0.8068551421165466
22,10000000,-0.5024563465384393,-0.4992901027990766,-0.5035386257505492,-0.8068551421165466
23,10,0.8913707664059324,0.5242539410022604,0.7780877824160075,0.5946604013442993
23,1000,0.8913707664059324,0.7590620430243996,0.7665527555338354,0.6160870790481567
23,100000,0.8913707664059324,0.8821851259943578,0.8926246233126226,0.7772150039672852
23,10000000,0.8913707664059324,0.04101632545149532,0.8901915884093066,0.7772150039672852
24,10,0.5989175059639781,0.5877945022536365,1.029492742204162,0.476615846157074
24,1000,0.5989175059639781,0.7129358177441918,0.535881088063839,0.4285520315170288
24,100000,0.5989175059639781,0.6149374788929485,0.6008730177984436,0.4379861056804657
24,10000000,0.5989175059639781,0.601987002450568,0.5981207378331771,0.4379861056804657
25,10,-0.7082875152210735,46.69124517488958,-1.4644147405947017,-1.541922688484192
25,1000,-0.7082875152210735,-0.762412870157363,-0.7746533437192257,-1.0403939485549927
25,100000,-0.7082875152210735,-0.6620835186283832,-0.7269519672914727,-1.0198062658309937
25,10000000,-0.7082875152210735,-0.7035115541219498,-0.7080654936462399,-1.0198062658309937
26,10,-0.6174078037256021,-0.652071929176722,-0.6399711850072102,-0.7857173681259155
26,1000,-0.6174078037256021,-0.5835570853316303,-0.6571516846518642,-0.7097352147102356
26,100000,-0.6174078037256021,-0.6156227830281186,-0.6207721722203199,-0.6965587735176086
26,10000000,-0.6174078037256021,-0.6175053559283303,-0.6183118316416955,-0.6965587735176086
27,10,0.6302266867976996,1.2484763010725715,1.4013414170922567,1.2510921955108643
27,1000,0.6302266867976996,-0.9587241083875249,0.7085386111693324,0.7893650531768799
27,100000,0.6302266867976996,0.6272576360701491,0.6435396530884538,0.7026231288909912
27,10000000,0.6302266867976996,0.6136995584089755,0.6304702542799696,0.7026231288909912
28,10,-0.8686899408083788,-0.2664778766218482,-0.9452620620584955,-0.9746195077896118
28,1000,-0.8686899408083788,-0.2114416176792383,-0.9521374669645888,-0.7523245811462402
28,100000,-0.8686899408083788,-0.21777437355031767,-0.8844138747771328,-0.7943148612976074
28,10000000,-0.8686899408083788,-0.8624268170134453,-0.8693453400787169,-0.7943148612976074
29,10,-0.6023659498247553,1.9506164332428844,-1.6237944392782309,-0.4954107999801636
29,1000,-0.6023659498247553,-0.3757250278317286,-0.7813514701244102,-0.4017544388771057
29,100000,-0.6023659498247553,0.6941822863564163,-0.5978322396773478,-0.3704310953617096
29,10000000,-0.6023659498247553,-0.6079616085545223,-0.6011184511292692,-0.3704310953617096
30,10,0.535881353114371,0.6214115491680122,0.7212113869624653,0.8165927529335022
30,1000,0.535881353114371,0.4718095431694545,0.5113712575999441,0.6905531287193298
30,100000,0.535881353114371,0.5393662495593816,0.5402458736538857,0.6882616877555847
30,10000000,0.535881353114371,0.535358467082874,0.5346934082546455,0.6882616877555847
31,10,0.5777143954996082,-1.1254320338270962,3.8298994531228083,0.9776395559310913
31,1000,0.5777143954996082,0.1210729785999564,0.6429577992767072,0.6937791705131531
31,100000,0.5777143954996082,0.48334152019758536,0.570613791619164,0.7794619202613831
31,10000000,0.5777143954996082,0.5847235080188712,0.5793402178784857,0.7794619202613831
32,10,0.7814849965708335,1.220523066528826,0.9335859759208232,0.8408834338188171
32,1000,0.7814849965708335,0.7948558807886069,0.7594441098827682,0.8240404725074768
32,100000,0.7814849965708335,0.7830911588319533,0.7859895104788999,0.7872458696365356
32,10000000,0.7814849965708335,0.7778611918477844,0.7808773731900575,0.7872458696365356
33,10,0.8932667284135591,4.3993513360754815,1.0961000977888355,0.9598695635795593
33,1000,0.8932667284135591,0.23674181406659284,0.7110773461298936,0.7938481569290161
33,100000,0.8932667284135591,-0.5057574339858683,0.8939804467534279,0.8251619338989258
33,10000000,0.8932667284135591,0.31155510641297646,0.8935152789868255,0.8251619338989258
34,10,0.8306045321677332,-0.17167061306060702,0.1573841413688522,0.5162836909294128
34,1000,0.8306045321677332,-0.04183652513915594,0.998303452965588,0.5671911835670471
34,100000,0.8306045321677332,0.8260141856025507,0.8679766612768801,0.577263593673706
34,10000000,0.8306045321677332,0.830598391612567,0.8316552206161936,0.577263593673706
35,10,-0.8956254493801354,-3.3448633110629036,-2.669182564425455,-0.5325018167495728
35,1000,-0.8956254493801354,-0.7537338122314323,-0.8580762753726356,-1.122954249382019
35,100000,-0.8956254493801354,-0.8960361516193669,-0.8814184773057685,-1.059696078300476
35,10000000,-0.8956254493801354,-0.8963775911963535,-0.8960027107740286,-1.059696078300476
