Seed,Sample Size,True Effect,Effect Estimate,Cross Moment Effect Estimate,Minimization,GRICA Effect Estimate
9,10,0.7291039262277637,1.3660958625839765,0.5971598464175386,0.9886023408953516,1.1373143196105957
9,1000,0.7291039262277637,1.1080315600983457,0.8799454401553973,1.2264835994840912,1.2079575061798096
9,100000,0.7291039262277637,1.0933414796463627,1.0019925281897986,1.165451165461031,1.1883900165557861
9,10000000,0.7291039262277637,0.8022401201578054,0.9938214435244586,0.7324872252068187,1.1883900165557861
10,10,0.7450104267317552,-0.6693549785463571,0.6882003350431439,-0.029648869192661253,0.5106527209281921
10,1000,0.7450104267317552,0.6542146542181971,0.6878093930301811,0.6302411869058262,0.6870167255401611
10,100000,0.7450104267317552,0.728351093684899,0.6985033217798082,0.742945115700835,0.498386025428772
10,10000000,0.7450104267317552,0.7392551835071084,0.699724994064615,0.7448636012872927,0.498386025428772
11,10,0.7529336055293985,-0.05737914718668188,4.9471340425926,0.012777511739831666,0.8808311223983765
11,1000,0.7529336055293985,0.3782946245004631,1.17551822437291,0.373609385049086,0.7750646471977234
11,100000,0.7529336055293985,0.760934437519487,1.3078704840638802,0.7556798213458465,0.7193443179130554
11,10000000,0.7529336055293985,0.7534720619043782,1.3037337007813259,0.7529764383527638,0.7193443179130554
12,10,-0.7084904108881172,-0.580543659259217,0.2238566905403084,-0.44965769287144625,-0.4697098135948181
12,1000,-0.7084904108881172,-0.40687034903111974,0.436309728671501,-0.43089356945543,-0.4073033332824707
12,100000,-0.7084904108881172,-0.7155542456709059,1.3868870738977377,-0.7156125092321549,-0.37284159660339355
12,10000000,-0.7084904108881172,-0.7056427046734911,1.991384037265064,-0.7056245209841018,-0.37284159660339355
13,10,-0.7719391806312388,-0.7235502633855471,6.069542733184584,-0.5142942551702913,-0.9480654001235962
13,1000,-0.7719391806312388,-0.755052805229236,-0.8163659520778708,-0.73916246253385,-0.7386445999145508
13,100000,-0.7719391806312388,-0.760453023864808,-0.8176017712280682,-0.7726827074037513,-0.7676095366477966
13,10000000,-0.7719391806312388,-0.771807061185582,-0.8103280102173176,-0.771879401917385,-0.7676095366477966
14,10,-0.5840097048714953,-1.096850457488347,-0.6135501424248322,-0.9888091534139459,-0.7325677275657654
14,1000,-0.5840097048714953,-0.13787729073194774,-0.6660246010551208,-0.14081235345079932,-0.5570286512374878
14,100000,-0.5840097048714953,-0.5966185622799222,-0.6251801176461479,-0.5907631419927317,-0.6112004518508911
14,10000000,-0.5840097048714953,-0.5855702666136594,-0.6222271056257701,-0.5831673608700133,-0.6112004518508911
15,10,0.5842202330635312,-0.6380472418545508,-2.6429598151047173,-0.7560289060041318,-0.44810476899147034
15,1000,0.5842202330635312,0.321832269349098,0.3671570247943866,0.31711829325021945,0.32173827290534973
15,100000,0.5842202330635312,0.321791925429564,0.4038875167537866,0.3165102270018552,0.3413991630077362
15,10000000,0.5842202330635312,0.3239863521419477,0.4058887066115958,0.3139569429974897,0.3413991630077362
16,10,-0.617394902440879,-1.194410170966814,-1.1490288553832806,-1.2089567271030441,-1.039544701576233
16,1000,-0.617394902440879,-0.45608437659191986,-0.719600603238673,-0.5398089546039481,-0.7438317537307739
16,100000,-0.617394902440879,-0.5944283221879623,-0.7004596860688175,-0.60299001665598,-0.7364280223846436
16,10000000,-0.617394902440879,-0.6185122658520669,-0.7012284397344043,-0.6186336744694714,-0.7364280223846436
17,10,0.7609674461862619,0.6971653507210529,0.6648771037032235,0.709545643228169,0.6790341138839722
17,1000,0.7609674461862619,0.7464731948161321,0.9498059303610834,0.8318800732118196,0.7383846044540405
17,100000,0.7609674461862619,0.740414359584599,0.910954397340043,0.6100323522589164,0.8098850846290588
17,10000000,0.7609674461862619,0.7604688642658006,0.914819692364295,0.7613245831260916,0.8098850846290588
18,10,-0.6190894967423439,-0.9966223664527462,-1.0468672015513165,-0.8023727008424448,-0.193073570728302
18,1000,-0.6190894967423439,-0.6203752073583885,-0.5906365213484561,-0.6310864495230653,-0.3565675616264343
18,100000,-0.6190894967423439,0.02499969740259392,-0.5471639252046239,0.05791570032884006,-0.30288201570510864
18,10000000,-0.6190894967423439,-0.630187921034636,-0.5494620139071232,-0.6210244766870288,-0.30288201570510864
19,10,-0.6998637068195819,-0.5181842726603153,-0.3003476061711477,-0.4473306846046233,-0.35961923003196716
19,1000,-0.6998637068195819,-0.308931783290776,-0.4937259075747291,-0.2684224811575059,-0.36550235748291016
19,100000,-0.6998637068195819,-0.36720240472061694,-0.5430733026193331,-0.2989312251348811,-0.3287819027900696
19,10000000,-0.6998637068195819,-0.6955656652429768,-0.5445270113847716,-0.6990538715734057,-0.3287819027900696
20,10,-0.5146657225684343,-0.2416707540680682,-0.9078022186880828,-0.17260259498679945,0.0934268981218338
20,1000,-0.5146657225684343,0.003365861250100083,0.18508767503953652,0.0006375710363658761,-0.0061441767029464245
20,100000,-0.5146657225684343,-0.007337159440593188,0.2755030271386029,-0.022592663450861066,-0.018919233232736588
20,10000000,-0.5146657225684343,-0.008780738369980223,0.2706081679570122,-0.023075905394931703,-0.018919233232736588
21,10,-0.8454798578232894,0.9075283851248294,2.171195068462163,-0.1701203918529418,-0.9680215120315552
21,1000,-0.8454798578232894,0.35690678155142297,0.34847839842145834,0.16438009009064652,-0.7579129934310913
21,100000,-0.8454798578232894,-0.8480958075956402,0.8829471100481332,-0.8416734295050103,-0.741346538066864
21,10000000,-0.8454798578232894,-0.8420166492151064,0.8791308441496819,-0.8451911925707574,-0.741346538066864
22,10,-0.5024563465384393,2.414268389047581,6.377401628662267,0.37618376980985485,0.22858506441116333
22,1000,-0.5024563465384393,-1.198928310582008,1.0496991637918784,-1.3204459219326263,-0.84446120262146
22,100000,-0.5024563465384393,-0.5192309483099059,2.1709718686208195,-0.5147827127613847,-0.7697714567184448
22,10000000,-0.5024563465384393,-0.5062597868247187,-4.363705268893344,-0.5040577682834597,-0.7697714567184448
23,10,0.8913707664059324,-3.6167885218499065,9.160339671145069,-0.07755048558438245,-3.708221673965454
23,1000,0.8913707664059324,-0.3636675223646079,-1.6045086734800418,-0.4287975869030006,0.8887937664985657
23,100000,0.8913707664059324,-0.8326581498743522,-2.5122932487011655,-0.3586920819190229,0.7031058073043823
23,10000000,0.8913707664059324,-0.24135514317934673,-2.642859786557444,-0.030343244124641063,0.7031058073043823
24,10,0.5989175059639781,0.15124060495933705,-0.0010604927987562774,0.14858122911552,0.7217884063720703
24,1000,0.5989175059639781,-0.02440239360177508,-0.427119691125071,0.388795126285018,0.38863322138786316
24,100000,0.5989175059639781,0.6216322537432071,-0.2039194115291033,0.6032879268872422,0.4932722747325897
24,10000000,0.5989175059639781,0.5987811036470208,-0.27210825754464846,0.5984672711662853,0.4932722747325897
25,10,-0.7082875152210735,0.05112499206478747,-0.11034083638709824,-0.10730140160844913,-0.8769343495368958
25,1000,-0.7082875152210735,-0.6077829381818772,-0.693727203855627,-0.6077829381818772,-0.9056199789047241
25,100000,-0.7082875152210735,-0.7003744963524392,-0.7281952655952917,-0.7004787680601067,-0.9866836071014404
25,10000000,-0.7082875152210735,-0.7083007777046172,-0.7327222477593246,-0.7082634660452793,-0.9866836071014404
26,10,-0.6174078037256021,-1.6268211043006018,-0.9273833301709447,-1.307409495023055,-0.9391318559646606
26,1000,-0.6174078037256021,-1.1173661102610557,-1.7758148408716645,-1.093097878199647,-1.1008832454681396
26,100000,-0.6174078037256021,-0.6103813751313022,-1.6901336028726557,-0.6061589412570244,-1.162763237953186
26,10000000,-0.6174078037256021,-0.6141498197773148,-1.6625309980523655,-0.6178129645292373,-1.162763237953186
27,10,0.6302266867976996,0.8576172101114187,0.8451659177357876,0.8571183454895258,0.8517255187034607
27,1000,0.6302266867976996,1.0700808877303067,1.9611228033552497,1.062137226973856,1.137739658355713
27,100000,0.6302266867976996,0.6239036019438148,1.8522987705844818,0.628944747189999,1.1077017784118652
27,10000000,0.6302266867976996,0.6149843600793458,1.8734064424222558,0.6247951321280479,1.1077017784118652
28,10,-0.8686899408083788,12.998196299951971,-19.2157490740268,5.473282954169701,-0.7631765007972717
28,1000,-0.8686899408083788,0.575216481151585,-0.4855692238813161,0.0029482707181903447,-0.8475950956344604
28,100000,-0.8686899408083788,-0.9323666571619604,-0.37209301749621204,-0.8738339775415325,-0.907616376876831
28,10000000,-0.8686899408083788,-0.8694679800862374,-0.3746424155078616,-0.8679694922312082,-0.907616376876831
29,10,-0.6023659498247553,-0.4307059555662798,0.23121783931102505,-0.323913038395894,-0.1598058044910431
29,1000,-0.6023659498247553,-0.9075283352509811,-0.23950731825104832,-0.8874590199544403,-0.5485894680023193
29,100000,-0.6023659498247553,-0.5403879619188504,-0.24395469187716656,-0.6026218301266669,-0.5836108326911926
29,10000000,-0.6023659498247553,-0.6042100997724639,-0.24670156258080614,-0.6026779490764385,-0.5836108326911926
30,10,0.535881353114371,1.7862095970037402,3.5791866425731858,2.6549527223574265,3.504056453704834
30,1000,0.535881353114371,0.9130836126804379,2.4688360730077847,0.948979215408098,1.2510159015655518
30,100000,0.535881353114371,0.4992981487881432,1.6116190323172346,0.5331068401767628,1.1930044889450073
30,10000000,0.535881353114371,0.5376041187307222,1.553348695682743,0.5362728194033247,1.1930044889450073
31,10,0.5777143954996082,0.5603706158070229,0.4275381130852911,0.6264411355128401,0.12463058531284332
31,1000,0.5777143954996082,0.3090297151557546,0.6031713466721763,0.2988841550438037,0.6816251277923584
31,100000,0.5777143954996082,0.6104305965672534,0.5909675269578982,0.5806058219910119,0.6770120859146118
31,10000000,0.5777143954996082,0.5817396488742571,0.5925045407197113,0.5779501792870425,0.6770120859146118
32,10,0.7814849965708335,0.4613733389057022,-0.009469345123262913,0.4829941180361207,0.6943657994270325
32,1000,0.7814849965708335,0.7423367236076073,1.0741362920596937,0.6896246891927581,0.8696413040161133
32,100000,0.7814849965708335,0.8130975984939579,1.0676038928067204,0.8070944744931358,0.8659266233444214
32,10000000,0.7814849965708335,0.7824212237575491,1.0665993273670749,0.7827727051485649,0.8659266233444214
33,10,0.8932667284135591,0.9761953583460766,0.7527432329224943,0.9249996570072925,0.9118481278419495
33,1000,0.8932667284135591,0.8531492073820183,0.6772091780125808,0.8577160260463366,0.890603244304657
33,100000,0.8932667284135591,0.9018354402764954,0.682220241830862,0.8954637972487309,0.932160496711731
33,10000000,0.8932667284135591,0.8914445864401394,0.6825834111486224,0.8927725179499486,0.932160496711731
34,10,0.8306045321677332,1.832587994461263,0.1545669621696789,2.0398813177582507,1.6103358268737793
34,1000,0.8306045321677332,0.8715976950830067,0.4290131375828097,0.8211662494791352,0.8459492325782776
34,100000,0.8306045321677332,0.8465606287087193,0.45452182431564286,0.8349156595378935,0.7427688241004944
34,10000000,0.8306045321677332,0.8328423208302614,0.44246669761069357,0.8320072624352269,0.7427688241004944
35,10,-0.8956254493801354,1.630958632950817,-0.3576070915650145,0.6384334722241892,-0.5231371521949768
35,1000,-0.8956254493801354,-0.9387056914152258,-1.431317886365746,-0.9089697674927892,-1.0181571245193481
35,100000,-0.8956254493801354,-0.8763663443318577,-1.6332306815488375,-0.8943306092188078,-1.0684783458709717
35,10000000,-0.8956254493801354,-0.895446958212087,-1.6151710975324327,-0.8956988593930483,-1.0684783458709717
36,10,0.5009463900176845,2.4724363795707944,-0.1714107345505415,0.6373854571105958,0.25883039832115173
36,1000,0.5009463900176845,0.6109192826847375,0.6841278253127905,0.3884857813621292,0.49195802211761475
36,100000,0.5009463900176845,0.5134477033859279,0.7307400950282631,0.5016458721607903,0.46393537521362305
36,10000000,0.5009463900176845,0.502319776452443,0.7282689702483042,0.5016970442127124,0.46393537521362305
37,10,0.5787217152314097,0.41085304308978965,0.07167092176614653,0.3115991852462863,0.27477866411209106
37,1000,0.5787217152314097,0.36287351941312146,0.5183963061918189,0.28444585795116445,0.41466179490089417
37,100000,0.5787217152314097,0.5879368232433695,0.5520023963064472,0.5811367010601226,0.3369181156158447
37,10000000,0.5787217152314097,0.578813103982898,0.5496544052025989,0.5787709672921034,0.3369181156158447
38,10,0.7249052576939023,2.062131984361034,-2.2355986718112577,2.438696092226547,0.27169379591941833
38,1000,0.7249052576939023,-0.4343186533483962,1.2649150985715185,-0.2741432994854748,0.43210330605506897
38,100000,0.7249052576939023,0.7418131431554402,1.017857287257591,0.735268986582248,0.35541942715644836
38,10000000,0.7249052576939023,0.724829217707424,1.0018949867562077,0.72553087723437,0.35541942715644836
39,10,-0.8785040475357668,-1.1253428230399745,-0.6077860849705244,-1.0979657288747762,-1.1671935319900513
39,1000,-0.8785040475357668,-0.9675874100803462,0.5668588456845385,-0.842428383705261,-0.7474840879440308
39,100000,-0.8785040475357668,-2.194699128866988,0.1986250848148442,-2.116318281523282,-0.8041146397590637
