,Seed,Sample Size,True Effect,Cumulant Estimate,Cumulant Minimization Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cumulant Minimization Error,Cross Moment Error,Relvlingam Error,GRICA Error
86,21,100000,0.6997907888419928,0.662410949918621,0.5735588121274812,7.573609400907872,0.13997788915160064,1.0873169898986816,0.05341573441574948,0.18038530761943736,9.822676608019677,0.7999718038826509,0.5537743669046625
87,21,10000000,0.6997907888419928,0.7013693271849569,0.630720362737,2.8201141537818994,-2.8987285713165325,1.0873169898986816,0.0022557289523292036,0.09870153652535181,3.0299389456791763,5.142278831811035,0.5537743669046625
88,22,10,-0.5001063117312737,0.410856563444584,0.09102358140835443,-0.2964139496346852,-0.3737496314500713,-0.21150946617126465,1.8215384485396235,1.1820084635469765,0.4072981230559638,0.2526596391950732,0.5770709922875022
89,22,1000,-0.5001063117312737,0.3527210820536636,0.256946375352554,-0.24888367288727908,-2.403873454234644,-0.043208807706832886,1.7052922024371373,1.5137835082765783,0.5023384687433943,3.8067248859805174,0.9136007550929478
90,22,100000,-0.5001063117312737,-0.3394319523163405,-0.4895874063918575,-0.2835928543414752,0.0,-0.012397877871990204,0.3212804070772651,0.021033338497572194,0.43293486267003867,1.0,0.9752095152947159
91,22,10000000,-0.5001063117312737,-0.5360773025015472,-0.5051750797234991,-0.27192346005988893,-0.5036511301322837,-0.012397877871990204,0.07192668823904391,0.010135380964655721,0.45626868991406805,0.007088129699340246,0.9752095152947159
92,23,10,-0.6579763927696182,-0.10229449690705197,-0.006621022213901019,-1.0053894058537955,-1.3767470875489631,-1.1643562316894531,0.8445316609666434,0.9899372951877025,0.5280022458280194,1.0923958711555373,0.7696018344797019
93,23,1000,-0.6579763927696182,-0.79933368583458,-0.7985654377481995,-2.582763674866387,0.0,-0.9095556139945984,0.21483642060461616,0.21366882843136714,2.9253135876118095,1.0,0.3823529597559093
94,23,100000,-0.6579763927696182,-0.79014789443748,-0.7932880567318495,-2.133018884538349,-0.989482778807479,-1.0858559608459473,0.2008757504376604,0.20564820478233933,2.24178634367084,0.5038271732553382,0.6502962306523747
95,23,10000000,-0.6579763927696182,-0.660752583430014,-0.6782351789361687,-2.0836368242715118,-1.1759899453319145,-1.0858559608459473,0.0042192861186250066,0.030789533468328967,2.1667349272226395,0.7872828846971596,0.6502962306523747
96,24,10,0.8823642101688611,0.8370392763660779,1.0982079733001517,1.341910151809334,-0.054330475617432844,1.3299150466918945,0.05136760226721939,0.24461980738088168,0.5208120822948246,1.0615737526423872,0.5072178034480614
97,24,1000,0.8823642101688611,0.673108207978762,0.8102083063304979,1.1540544815873255,0.6365740030662836,0.8306633234024048,0.23715377366683202,0.08177564661712028,0.3079117084389337,0.2785586770972269,0.058593590005834625
98,24,100000,0.8823642101688611,0.4660169189164328,0.6220607618216895,1.01148500552914,0.29814293705761596,0.8573476672172546,0.4718542371213702,0.2950068071067349,0.14633503248683283,0.6621089867181271,0.028351719917129217
99,24,10000000,0.8823642101688611,0.8875510350103902,0.8697261687971255,1.0190820075685725,0.1257604980419285,0.8573476672172546,0.005878326411875298,0.014322930628971277,0.1549448581709215,0.857473255836316,0.028351719917129217
100,25,10,-0.8628513867747024,0.137872241843989,0.23327915175122382,-0.6125156585907994,-0.4428493048846887,-0.5203962326049805,1.1597867766769767,1.2703584363736264,0.29012612371134516,0.4867606268328102,0.3968877600693244
101,25,1000,-0.8628513867747024,-1.1171227484172765,-1.048137649817206,-0.8516786412634587,0.0,-0.9175246357917786,0.2946873187432988,0.21473716781645885,0.012948632502066076,1.0,0.06336345963520111
102,25,100000,-0.8628513867747024,0.027334244565773016,-0.36230263145564157,-0.7260193371207737,-1.543756293918027,-0.8533588647842407,1.0316789715873866,0.5801100432718644,0.1585812478848767,0.7891334679179398,0.011001340596952954
103,25,10000000,-0.8628513867747024,-0.8412436033966368,-0.8574012638481107,-0.7291454118440556,0.0,-0.8533588647842407,0.025042300110143464,0.006316409766650605,0.1549582894343294,1.0,0.011001340596952954
104,26,10,-0.842845796005405,-0.5504108129640166,-0.5439810290588499,-0.5734634868652577,-0.9226617695703383,-0.7804866433143616,0.3469614304625577,0.35459009033799405,0.3196104322010758,0.0946981926506773,0.07398643142860681
