,Seed,Sample Size,True Effect 0,True Effect 1,Cumulant Error,Cumulant Estimate 0,Cumulant Error 0,Cumulant Estimate 1,Cumulant Error 1,Min Norm Error,Min Norm Estimate 0,Min Norm Error 0,Min Norm Estimate 1,Min Norm Error 1,Relvlingam Error,Relvlingam Estimate 0,Relvlingam Error 0,Relvlingam Estimate 1,Relvlingam Error 1,GRICA Error,GRICA Estimate 0,GRICA Error 0,GRICA Estimate 1,GRICA Error 1
129,32,1000,0.7139546914981076,0.5666000492104116,0.2522356548824304,0.5126530182264928,0.28195300859949374,0.44052116881989745,0.22251830116536708,1.0061253846340086,0.06306528016600316,0.9116676717486485,-0.056990388004209934,1.1005830975193687,0.7616550517516565,0.0,1.0,0.27009251881312885,0.5233101035033131,0.34877835493504744,0.5745593,0.19524407055860815,0.8512104,0.5023126393114867
130,32,100000,0.7139546914981076,0.5666000492104116,0.009517163247225315,0.7154502379383149,0.002094735783679884,0.5761980221407386,0.016939590710770745,1.011848021687556,0.09323643920283439,0.8694084648324192,-0.0874193495948451,1.154287578542693,0.4746707766300602,0.482210702757471,0.32459201052991593,0.9205831708655277,0.6247495427302044,0.2534448089478894,0.6186395,0.13350309743988423,0.77816087,0.37338652045589454
131,32,10000000,0.7139546914981076,0.5666000492104116,0.02236103714047117,0.7273945704012403,0.018824554363430945,0.5812735852701012,0.025897519917511398,1.0124075409234707,0.09616537453520152,0.8653060541791306,-0.09037782292608651,1.1595090276678108,0.4821685504911246,0.47895529193508596,0.3291516987862591,0.9264961293523947,0.6351854021959901,0.2534448089478894,0.6186395,0.13350309743988423,0.77816087,0.37338652045589454
132,33,10,-0.8286277829648676,-0.7110204269757444,0.7853159901816573,-0.37833528532915683,0.5434195025715212,0.019348627578588906,1.0272124777917935,1.0158176660296376,-0.2050304360681047,0.7525663026473762,0.19842378044815517,1.2790690294118991,0.13457936335356832,-0.8448290662748086,0.019551943155915012,-0.5335449051591126,0.24960678355122165,0.5073925543008133,-0.6131067,0.2600939285352295,-0.17441958,0.7546911800663972
133,33,1000,-0.8286277829648676,-0.7110204269757444,0.05121485967722326,-0.8179871536752649,0.012841265412957905,-0.6473212062021704,0.08958845394148861,1.0014507949060287,-0.1438033474775959,0.826456039208508,0.12545639072810602,1.1764455506035494,0.3695606663895659,-0.45051378052195784,0.45631345003905227,-0.9121026085137021,0.28280788274007956,0.14808127495143442,-0.7629982,0.0792027023584625,-0.8652833,0.2169598475444063
134,33,100000,-0.8286277829648676,-0.7110204269757444,0.18779274915696997,-0.6966401599360689,0.15928457353498462,-0.5572260510841632,0.21630092477895532,1.0017240426555878,-0.11664608367192039,0.8592298181765575,0.10254213387575793,1.144218267134618,1.3505470342121155,-2.238201589497925,1.7010940684242308,0.0,1.0,0.2667471581397746,-0.66076684,0.20257701519875967,-0.9463094,0.3309173010807896
135,33,10000000,-0.8286277829648676,-0.7110204269757444,0.0006758251934709174,-0.8284324519765953,0.00023572826338671363,-0.7102269835509826,0.001115922123555121,1.0017613620506418,-0.11469618207633409,0.861582987640185,0.10092205202339487,1.1419397364610986,0.29964198495050737,-0.6226696206291533,0.24855329083800048,-0.9603971041566216,0.35073067906301425,0.2667471581397746,-0.66076684,0.20257701519875967,-0.9463094,0.3309173010807896
136,34,10,0.70591922067731,-0.8571590152114037,2.986265362659747,3.3261848822745383,3.7118491533396067,-2.794922605156252,2.2606815719798874,2.8841810778867107,3.690432918861682,4.227840255321017,-2.1776312503147865,1.5405219004524042,0.6157709239174132,0.0,1.0,-1.0556271974817322,0.2315418478348264,0.4480309884160307,0.38199127,0.4588739674239574,-0.48241937,0.43718800940810393
137,34,1000,0.70591922067731,-0.8571590152114037,0.19954844491482712,0.8187332454756334,0.15981152162152693,-0.6520534046436272,0.23928536820812732,0.09210368884024416,0.618062174191944,0.12445764885261186,-0.8059439964901527,0.05974972882787646,1.5759317023231594,-0.49110520096786303,1.6956960323259949,0.3910079756296625,1.456167372320324,0.33475174002926084,0.40485153,0.42649029214204776,-0.6488581,0.2430131879164739
138,34,100000,0.70591922067731,-0.8571590152114037,0.01020183267800195,0.7026100437982237,0.004687755740538301,-0.8436879816022598,0.0157159096154656,0.06987743551848094,0.6355443040817675,0.09969259163678773,-0.8914987591691811,0.040062279400174164,0.39523495243801965,0.3838853439295286,0.45619083220145046,-0.5706286944718718,0.3342790726745889,0.27721276672905915,0.4577383,0.35157126100142055,-0.68328065,0.20285427245669777
