,Unnamed: 0,Seed,Sample Size,True Effect 0,True Effect 1,Cumulant Error,Cumulant Estimate 0,Cumulant Error 0,Cumulant Estimate 1,Cumulant Error 1,Min Norm Error,Min Norm Estimate 0,Min Norm Error 0,Min Norm Estimate 1,Min Norm Error 1,Relvlingam Error,Relvlingam Estimate 0,Relvlingam Error 0,Relvlingam Estimate 1,Relvlingam Error 1,GRICA Error,GRICA Estimate 0,GRICA Error 0,GRICA Estimate 1,GRICA Error 1
22,22,5,100000,0.5818222185519802,0.779937445650623,0.4069291545544452,0.3374116323248977,0.4200777805209356,0.4728132660367813,0.3937805285879548,1.0102106643730109,-0.030760338232076,1.0528689645243032,0.0253071261663149,0.967552364221718,0.8024188535557417,0.0,1.0,0.308201869332913,0.6048377071114833,0.38135258085510165,0.68311024,0.17408757407320063,0.32085255,0.5886175876370027
23,23,5,10000000,0.5818222185519802,0.779937445650623,0.0201895560645635,0.5694022336417313,0.0213467009581714,0.7650933554973754,0.0190324111709556,1.0137144337641748,-0.0426837729154168,1.0733622257012576,0.0358251460435329,0.954066641827092,0.4951234602992627,0.8077432377112881,0.3882990576083061,0.3104557669751801,0.6019478629902193,0.36459634879780195,0.681556,0.17141622418726596,0.3449067,0.5577764734083379
24,24,6,10,-0.8976829753687751,-0.6022456222403341,2.3061956638879044,1.2602255947707204,2.403864871396286,-1.93232101219686,2.2085264563795235,0.2726053526555175,-0.479130437734735,0.4662587451456294,-0.6497940946172429,0.0789519601654057,1.6006005012414952,0.0672717954221779,1.07493936865021,0.678286138473038,2.1262616338327804,0.24504177370915053,-0.8279566,0.07767370040812172,-0.85061765,0.41240984701017935
25,25,6,1000,-0.8976829753687751,-0.6022456222403341,0.4313571743097549,-1.189570068014221,0.3251560970347426,-0.2785035185242399,0.5375582515847672,0.1844977593052167,-0.754988007908687,0.1589591998238218,-0.7287390757410462,0.2100363187866117,1.0,0.0,1.0,0.0,1.0,0.4185953666472275,-0.8467311,0.056759290816897234,-1.072257,0.7804314424775578
26,26,6,100000,-0.8976829753687751,-0.6022456222403341,0.379871703833171,-1.1584136002403007,0.2904484456379664,-0.3196147858193011,0.4692949620283755,0.1625350926765836,-0.7868262962786311,0.1234920145885613,-0.7236451931225325,0.2015781707646059,0.5421175044195603,-0.9863031664393797,0.0987210334853445,-1.195767099553814,0.985513975353776,0.4477603149729329,-0.8526098,0.05021055694735691,-1.1113299,0.8453100729985089
27,27,6,10000000,-0.8976829753687751,-0.6022456222403341,0.0006591843635726,-0.8973975366393263,0.0003179727557287,-0.6016431381460415,0.0010003959714166,0.1630845414108217,-0.78534042469228,0.1251472443602306,-0.7233101444284236,0.2010218384614128,0.5503594338013769,-0.9865924313758044,0.0990432685553658,-1.2055003666715876,1.0016755990473878,0.44211831307617994,-0.84813434,0.05519614148043377,-1.1015316,0.8290404846719261
28,28,7,10,-0.6963063556364282,-0.6489538757540236,1.0697995248645409,-0.1664555237637525,0.7609449886298809,0.2457290205203271,1.3786540610992006,0.9975254249323482,-0.2128335180540353,0.6943392569503344,0.1951479537059414,1.300711592914362,0.7034121469173343,-0.3696662688265691,0.4691039858616657,-0.0404166475216867,0.9377203079730028,0.9651783935795104,-0.21393357,0.6927594148159368,0.15418974,1.237597372343084
29,29,7,1000,-0.6963063556364282,-0.6489538757540236,0.319239830464572,-0.9418395750365904,0.3526224016377727,-0.834462052083582,0.2858572592913714,1.0021402649238098,-0.0187771505384804,0.9730332053032634,0.0202780723700036,1.031247324544356,1.0,0.0,1.0,0.0,1.0,0.707845348871321,-0.08368542,0.8798152282021618,-0.3011954,0.5358754695404802
30,30,7,100000,-0.6963063556364282,-0.6489538757540236,1.2574713507739697,0.1446888738957177,1.2077948488111547,0.1993247894630625,1.3071478527367848,1.0012150788676828,-0.0266693549775606,0.961698820121806,0.0264327594089652,1.0407313376135598,1.0,0.0,1.0,0.0,1.0,0.7064333979833968,-0.13592596,0.8047900002337813,-0.25434008,0.6080767957330121
31,31,7,10000000,-0.6963063556364282,-0.6489538757540236,0.011516797316562,-0.7040383399959455,0.0111042851999393,-0.6566954473457579,0.0119293094331847,1.0012162714173458,-0.0272610343431421,0.9608490801175792,0.0269857492975429,1.0415834627171123,0.6833041076161939,-0.035112380224123,0.9495733739324694,-0.3783174991679774,0.4170348412999184,0.7118432089736146,-0.1332294,0.8086626617588332,-0.24983183,0.6150237561883962
