,Unnamed: 0,Seed,Sample Size,True Effect 0,True Effect 1,Cumulant Error,Cumulant Estimate 0,Cumulant Error 0,Cumulant Estimate 1,Cumulant Error 1,Min Norm Error,Min Norm Estimate 0,Min Norm Error 0,Min Norm Estimate 1,Min Norm Error 1,Relvlingam Error,Relvlingam Estimate 0,Relvlingam Error 0,Relvlingam Estimate 1,Relvlingam Error 1,GRICA Error,GRICA Estimate 0,GRICA Error 0,GRICA Estimate 1,GRICA Error 1
114,114,28,100000,0.8820585737270348,-0.529238309906384,0.390234839454971,1.176006959165079,0.3332526820707608,-0.292553942337807,0.4472169968391812,0.3743211476477079,0.5932777547018532,0.3273941523009886,-0.7521789651559575,0.4212481429944273,0.6960461672678209,1.2279069790968464,0.3920923345356418,0.0,1.0,0.535693117402199,1.2065904,0.3679254983588395,-0.15693994,0.7034607364455586
115,115,28,10000000,0.8820585737270348,-0.529238309906384,0.0582901820312483,0.9261745531437156,0.0500147957638163,-0.4940092610420324,0.0665655682986803,0.374825569618296,0.5964567915405193,0.3237900414932068,-0.7546203175309706,0.4258610977433852,0.5230681016767078,1.2246160028940165,0.3883613167768954,-0.181118640635763,0.6577748865765202,0.5395931362047222,1.2417713,0.407810521157591,-0.17392054,0.6713757512518533
116,116,29,10,0.7568602288971822,-0.6914574812207355,0.0750667166070658,0.7424277498574096,0.019068882851464,-0.7820830450918339,0.1310645503626677,0.0454435783089799,0.8070922916053918,0.0663690081607306,-0.7084107383971673,0.0245181484572292,1.0,0.0,1.0,0.0,1.0,0.21986682789252243,0.48797,0.35527066172310057,-0.6330549,0.08446299406194432
117,117,29,1000,0.7568602288971822,-0.6914574812207355,1.063349293500397,1.4673860652590582,0.9387807804317848,0.1299371732067321,1.1879178065690088,0.0635793752694989,0.8251250149898792,0.090194706349104,-0.6658984163294596,0.0369640441898937,1.0,0.0,1.0,0.0,1.0,0.2025384659308853,0.49772748,0.3423785997631192,-0.64810425,0.06269833209865139
118,118,29,100000,0.7568602288971822,-0.6914574812207355,0.2642638503675666,0.5863072802259486,0.2253427279693974,-0.9010969988333084,0.3031849727657357,0.0455712388714601,0.7890851541061142,0.0425771152698654,-0.657876598010545,0.0485653624730547,0.2004919222885113,0.4595863757394904,0.3927724589133825,-0.6857796571724228,0.00821138566364,0.18466660159955886,0.51777965,0.315884718822602,-0.6545001,0.05344848437651571
119,119,29,10000000,0.7568602288971822,-0.6914574812207355,0.0513925066459416,0.7906795453573231,0.0446837013875321,-0.6512828944357325,0.0581013119043511,0.0471537510795593,0.7879108848706439,0.0410256144898846,-0.6546153213782808,0.0532818876692339,0.584368563287478,0.0,1.0,-0.574782932690792,0.168737126574956,0.1846068106085936,0.5245985,0.3068753526191682,-0.6483532,0.06233826859801898
120,120,30,10,0.6467949320041011,0.7061528448963632,1.5676902689641723,1.4333567878674256,1.2160915569114836,-0.6491585292269352,1.9192889810168612,0.441713093791755,0.3717975011625709,0.4251694273321649,0.3825535299518852,0.458256760251345,1.9279457875265056,-1.2003812650933967,2.8558915750530116,0.0,1.0,0.5378380375652223,0.05846536,0.9096075762158521,0.5888831,0.1660684989145926
121,121,30,1000,0.6467949320041011,0.7061528448963632,0.0400636186546957,0.6866762000081275,0.0616598337906789,0.6931120353637752,0.0184674035187126,0.1432532912286983,0.5407296501972854,0.1639859506600821,0.7926711375985366,0.1225206317973143,0.6861060727579524,0.4060500026540408,0.3722121455159049,0.0,1.0,0.16798978857118885,0.48242974,0.25412256815572665,0.6483493,0.08185700898665102
122,122,30,100000,0.6467949320041011,0.7061528448963632,0.0031862756102879,0.6491330643353069,0.0036149515333416,0.708100131760589,0.0027575996872341,0.138380807656834,0.5389569047252185,0.1667267660010032,0.783854266776244,0.1100348493126647,0.6406400668956846,0.0,1.0,0.5075260782067581,0.2812801337913693,0.13381431565451024,0.5076295,0.21516157807909222,0.6691031,0.05246705322992824
123,123,30,10000000,0.6467949320041011,0.7061528448963632,0.0002093297123127,0.6468322330375443,5.767057161017033e-05,0.7064077582018958,0.0003609888530152,0.1365672415290109,0.5386879964373743,0.1671425210951426,0.7809993703725975,0.1059919619628792,0.3227065631843098,0.4100249558579492,0.3660665296379449,0.5088914509028802,0.2793465967306746,0.17950861273585644,0.47232512,0.26974518038902096,0.64311314,0.08927204508269193
124,124,31,10,0.6535741105656772,0.6845769811584214,1.018834038217741,0.3387966468856066,0.481624743990588,1.7498084282352369,1.556043332444894,1.1458068786630586,-0.605196022948234,1.9259791860856128,0.4342719701714429,0.3656345712405047,0.6514778942177925,0.0,1.0,0.4771804220867192,0.3029557884355849,0.6907481115986266,0.0122042,0.9813269836854305,0.95852363,0.4001692395118227
125,125,31,1000,0.6535741105656772,0.6845769811584214,0.7031309372285783,0.1237182025549077,0.8107051663233295,1.092281394521324,0.5955567081338273,0.0481269683079457,0.5949095447225551,0.0897596231165691,0.6801311236283589,0.0064943134993222,1.0,0.0,1.0,0.0,1.0,0.5465986914048282,0.20336896,0.6888356522643666,0.9613937,0.40436173054528973
126,126,31,100000,0.6535741105656772,0.6845769811584214,0.8792070711702613,0.0284206751413821,0.9565149924363074,1.2335386803933537,0.8018991499042153,0.04559153191494,0.6232368785508589,0.0464174322764422,0.715222502066924,0.0447656315534377,6.473070607397564,0.0,1.0,8.862630270475067,11.946141214795128,0.5801280063480557,0.19258045,0.7053426023343656,0.99600023,0.45491341036174576
127,127,31,10000000,0.6535741105656772,0.6845769811584214,0.0184592369956773,0.6405166635869174,0.0199785254153631,0.6961736800155526,0.0169399485759915,0.0414922381323087,0.6241414335998384,0.0450334193016984,0.7105574011658679,0.0379510569629191,0.5823812970494197,0.1949839518592668,0.7016651230408965,1.0016028498773673,0.4630974710579428,0.5709268779510491,0.22087514,0.6620503468020614,1.0130394,0.47980340910003677
128,128,32,10,0.7139546914981076,0.5666000492104116,0.8668848513004053,1.084121778820621,0.5184741997363771,1.2551865409385916,1.2152955028644334,0.7498073865704051,0.9560257808971953,0.3390566548293759,-0.0909722377363897,1.1605581183114342,1.0,0.0,1.0,0.0,1.0,0.572285513626861,0.34144002,0.5217623386222475,0.9194835,0.6228086886314745
129,129,32,1000,0.7139546914981076,0.5666000492104116,0.2522356548824304,0.5126530182264928,0.2819530085994937,0.4405211688198974,0.222518301165367,1.0061253846340086,0.0630652801660031,0.9116676717486484,-0.0569903880042099,1.100583097519369,0.7616550517516565,0.0,1.0,0.2700925188131288,0.5233101035033131,0.31062937750383296,0.59524345,0.1662727886408603,0.8243951,0.4549859663668056
130,130,32,100000,0.7139546914981076,0.5666000492104116,0.0095171632472253,0.7154502379383149,0.0020947357836798,0.5761980221407386,0.0169395907107707,1.011848021687556,0.0932364392028343,0.8694084648324192,-0.0874193495948451,1.154287578542693,0.4746707766300602,0.482210702757471,0.3245920105299159,0.9205831708655275,0.6247495427302044,0.26767822716241346,0.6099763,0.14563725272738698,0.78741497,0.38971920159743995
131,131,32,10000000,0.7139546914981076,0.5666000492104116,0.0223610371404711,0.7273945704012403,0.0188245543634309,0.5812735852701012,0.0258975199175113,1.0124075409234707,0.0961653745352015,0.8653060541791306,-0.0903778229260865,1.1595090276678108,0.4821685504911246,0.4789552919350859,0.3291516987862591,0.9264961293523948,0.6351854021959901,0.22226638035165305,0.6162906,0.136793081901475,0.74096537,0.3077396788018311
132,132,33,10,-0.8286277829648676,-0.7110204269757444,0.7853159901816573,-0.3783352853291568,0.5434195025715212,0.0193486275785889,1.0272124777917937,1.0158176660296376,-0.2050304360681047,0.7525663026473762,0.1984237804481551,1.2790690294118991,0.1345793633535683,-0.8448290662748086,0.019551943155915,-0.5335449051591126,0.2496067835512216,0.5252859971192665,-0.6064822,0.2680884949270042,-0.15465868,0.7824834993115287
133,133,33,1000,-0.8286277829648676,-0.7110204269757444,0.0512148596772232,-0.8179871536752649,0.0128412654129579,-0.6473212062021704,0.0895884539414886,1.0014507949060287,-0.1438033474775959,0.826456039208508,0.125456390728106,1.1764455506035494,0.3695606663895659,-0.4505137805219578,0.4563134500390522,-0.912102608513702,0.2828078827400795,0.11946074215520977,-0.72574615,0.12415903774261135,-0.7926189,0.11476244656780821
134,134,33,100000,-0.8286277829648676,-0.7110204269757444,0.1877927491569699,-0.6966401599360689,0.1592845735349846,-0.5572260510841632,0.2163009247789553,1.0017240426555878,-0.1166460836719203,0.8592298181765575,0.1025421338757579,1.144218267134618,1.3505470342121155,-2.238201589497925,1.7010940684242308,0.0,1.0,0.24819189560113675,-0.6534859,0.21136376593000056,-0.9136755,0.28502002527227294
135,135,33,10000000,-0.8286277829648676,-0.7110204269757444,0.0006758251934709,-0.8284324519765953,0.0002357282633867,-0.7102269835509826,0.0011159221235551,1.0017613620506418,-0.114696182076334,0.861582987640185,0.1009220520233948,1.1419397364610986,0.2996419849505073,-0.6226696206291533,0.2485532908380004,-0.9603971041566216,0.3507306790630142,0.22979440267218337,-0.65852106,0.20528725959560049,-0.891834,0.2543015457487663
136,136,34,10,0.70591922067731,-0.8571590152114037,2.986265362659747,3.3261848822745383,3.7118491533396063,-2.794922605156252,2.2606815719798874,2.8841810778867107,3.690432918861682,4.227840255321017,-2.1776312503147865,1.5405219004524042,0.6157709239174132,0.0,1.0,-1.0556271974817322,0.2315418478348264,0.42764041413992515,0.39933172,0.4343096108077423,-0.49631974,0.4209712174721081
137,137,34,1000,0.70591922067731,-0.8571590152114037,0.1995484449148271,0.8187332454756334,0.1598115216215269,-0.6520534046436272,0.2392853682081273,0.0921036888402441,0.618062174191944,0.1244576488526118,-0.8059439964901527,0.0597497288278764,1.5759317023231594,-0.491105200967863,1.6956960323259949,0.3910079756296625,1.456167372320324,0.3511034937842272,0.38497952,0.45464083567748836,-0.64495546,0.24756615189096604
138,138,34,100000,0.70591922067731,-0.8571590152114037,0.0102018326780019,0.7026100437982237,0.0046877557405383,-0.8436879816022598,0.0157159096154656,0.0698774355184809,0.6355443040817675,0.0996925916367877,-0.8914987591691811,0.0400622794001741,0.3952349524380196,0.3838853439295286,0.4561908322014504,-0.5706286944718718,0.3342790726745889,0.16915571720965705,0.5366568,0.23977591031263742,-0.7726984,0.09853552410667671
139,139,34,10000000,0.70591922067731,-0.8571590152114037,0.0051744557493582,0.7012479286114734,0.006617318142088,-0.8603575840981408,0.0037315933566284,0.0797847619419365,0.6344083344998415,0.1013017978301481,-0.9071037218942224,0.0582677260537249,0.3944249826262699,0.3838818851395414,0.4561957318980246,-0.5720214401433429,0.3326542333545152,0.14911896793743873,0.5526264,0.2171535280574494,-0.7876568,0.0810844078174281
