,Unnamed: 0,Seed,Sample Size,True Effect,Cumulant Estimate,Cumulant Minimization Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cumulant Minimization Error,Cross Moment Error,Relvlingam Error,GRICA Error
286,286,71,100000,-0.7684154493632742,-0.1846466063116416,-0.197298766281888,-0.9904798142673727,-2.948139693399924,-0.3407371640205383,0.7597047190232264,0.7432394592724885,0.2889899794285838,2.8366481254935945,0.1364591562471195
287,287,71,10000000,-0.7684154493632742,-0.7547950254861228,-0.866753806654836,-0.973428289606066,-0.8366535185632625,-0.3407371640205383,0.0177253384070266,0.127975507745253,0.2667994773044581,0.0888036143163595,0.06738113546359152
288,288,72,10,0.5246947873466213,0.137056767132851,0.2139586746647192,2.028222074255089,0.0,0.811514675617218,0.738787633424097,0.5922226028836552,2.8655273945292974,1.0,0.005822185312241301
289,289,72,1000,0.5246947873466213,0.20655661230234,0.4605517216715056,-0.6273367856688574,1.0143960645625345,0.2270492911338806,0.6063299707113622,0.1222483379327757,2.195622294708312,0.9333069224726432,1.069002497533744
290,290,72,100000,0.5246947873466213,-1.0331424300225578,-0.4724207757251643,-0.9257269622077776,0.0,0.1079471260309219,2.9690350560697456,1.900372534886793,2.764315149554227,1.0,1.0544678210006388
291,291,72,10000000,0.5246947873466213,0.5302869451608452,0.661541901752561,-0.9241187111286806,0.6463374882469607,0.1079471260309219,0.0106579252340267,0.260812795754985,2.761250032236729,0.2318351617622996,1.0496380019501994
292,292,73,10,0.5702004584818271,0.2321523300127634,0.3142914164733759,0.6444324274974108,-7.719591355155715,0.6871985793113708,0.5928583946935526,0.4488053950181228,0.1301857406660601,14.538381529382349,1.2014319150833592
293,293,73,1000,0.5702004584818271,0.732007696048237,0.6265247790931063,0.5088354921811865,0.3430009468654992,0.5731706619262695,0.2837725490386761,0.098779858510188,0.1076199876514065,0.3984555049661872,0.14530635406337733
294,294,73,100000,0.5702004584818271,0.4746914169029294,0.5187738909985421,0.5851989646263289,0.1521096204792802,0.4499514698982239,0.1675008151224447,0.0901903299415253,0.0263039180719631,0.7332348330896191,0.07929353022626212
295,295,73,10000000,0.5702004584818271,0.1314900185204491,0.3504998131617086,0.5878494301783348,0.0,0.4499514698982239,0.7693968558521603,0.3853042242461131,0.0309522229138477,1.0,0.0828306062409584
296,296,74,10,0.8909593546535957,0.0542063419310836,0.1977353544361367,-1.0012530294636792,0.3181287326191906,0.5562378168106079,0.9391595793366364,0.778064674439592,2.1237920385862785,0.6429368736547147,0.19314086835641814
297,297,74,1000,0.8909593546535957,0.4224253486804901,0.0166550747177346,1.769067733197529,0.4810870324209766,0.6303619146347046,0.5258758477879961,0.9813065830323876,0.985576248745198,0.4600348153838927,0.1652455586312772
298,298,74,100000,0.8909593546535957,1.116259104576808,1.6306279752692006,2.7288674714987784,-0.4946509836550158,0.6563886404037476,0.2528732076793881,0.8301934501862742,2.06284170792478,1.555189168923801,0.21619132365347793
299,299,74,10000000,0.8909593546535957,0.0044151302326797,0.2136486188772821,2.88298930934584,0.0,0.6563886404037476,0.9950445211561908,0.7602038546861113,2.2358258480452724,1.0,0.09040573689889737
300,300,75,10,0.6866758695988338,0.3479588197939066,0.3309901020468076,1.3943269795857478,0.462771042492431,0.4190951287746429,0.4932706460222793,0.5179820397064819,1.0305460571962932,0.326070620826113,0.20362716049282698
