,Unnamed: 0,Seed,Sample Size,True Effect,Cumulant Estimate,Cumulant Minimization Estimate,Cross Moment Estimate,Relvlingam Estimate,GRICA Estimate,Cumulant Error,Cumulant Minimization Error,Cross Moment Error,Relvlingam Error,GRICA Error
205,205,51,1000,-0.5190903131985717,-0.1277798694976272,-0.1152051628881513,-0.3374105881340758,0.0,-0.2555498480796814,0.7538388479833825,0.7780633543741722,0.3499963695045808,1.0,0.1724499052024545
206,206,51,100000,-0.5190903131985717,0.0747067140014325,-0.0258390874761644,-0.19335669816093,-0.529545916908268,-0.2355226576328277,1.1439185284369855,0.9502223662835334,0.6275085601781134,0.0201421668712524,0.4752563945166452
207,207,51,10000000,-0.5190903131985717,-0.4309078116143571,-0.4947385239858036,-0.1943353932040239,-0.5593261993199241,-0.2355226576328277,0.1698789196061946,0.0469124323717683,0.6256231560042939,0.0775123039253492,0.44184852167532607
208,208,52,10,0.6692807001648127,0.9975062502386542,1.1178402287728448,1.689928886538024,0.9507768908602736,0.9678340554237366,0.4904153817568845,0.6702113604913048,1.5249927065308668,0.420595111477354,1.4182149413846912
209,209,52,1000,0.6692807001648127,0.863738999591497,0.8604072772070513,0.6920765411080758,-2.216773809515642,0.7656469941139221,0.2905481950679264,0.2855701307316543,0.0340602096215378,4.312173515491712,0.05426388864213941
210,210,52,100000,0.6692807001648127,0.6587548141384812,0.6556199472545999,0.7151358623550027,0.6710391883486682,0.8020931482315063,0.0157271620468652,0.0204110964306138,0.0685140960719441,0.0026274299907683,0.02013588356438614
211,211,52,10000000,0.6692807001648127,0.6699821831546662,0.6697219306272914,0.7208106009023536,0.6690133519221504,0.8020931482315063,0.0010481147740862,0.0006592606993896,0.0769929578498999,0.0003994560766453,0.02079713748572033
212,212,53,10,0.7226931693142171,1.1003520214037694,1.0872674229739714,1.638774840693563,0.0,1.1476649045944214,0.5225714980092075,0.5044661678561436,1.2675942021821518,1.0,0.6852618361389028
213,213,53,1000,0.7226931693142171,0.0630971992911393,0.1173818086851615,0.8613404086505929,0.7135386509887236,0.7587075233459473,0.9126915792617578,0.8375772545400584,0.1918480002626036,0.0126672268594713,0.05445712245375767
214,214,53,100000,0.7226931693142171,0.7143461586512404,0.7232288527888378,0.8109104469548114,0.7061371588421931,0.7340481877326965,0.0115498679348213,0.0007412322370902,0.1220674020266526,0.0229087684441994,0.07150757699180697
