Seed,Sample Size,True Effect,Effect Estimate,Cross Moment Effect Estimate,GRICA Effect Estimate,Error,Cross Moment Error,GRICA Error
25,1000,-0.8628513867747024,-1.0097133949566965,-0.6185599155338404,-0.9065830707550049,0.17020544955135014,0.28312114343816724,0.05068275331140097
25,100000,-0.8628513867747024,-0.8520370706162881,-0.8422475476473353,-0.9477970004081726,0.012533231474353573,0.023878780799534028,0.09844755995698504
25,10000000,-0.8628513867747024,-0.8644799149897019,-0.8482742613368959,-0.9477970004081726,0.001887379727216806,0.016894132247147614,0.09844755995698504
26,10,-0.842845796005405,-0.21180833223999077,-6.949241142650635,-0.9707162380218506,0.7486985955867158,7.2449733694893705,0.15171273633027124
26,1000,-0.842845796005405,-1.0119868556709948,-0.7401848033611051,-0.8700760006904602,0.20067853510952924,0.12180281746774176,0.03230745744252439
26,100000,-0.842845796005405,-0.8450985972720081,-0.8289872997086499,-0.8351783156394958,0.0026728510449717576,0.016442505096942065,0.009097133072560252
26,10000000,-0.842845796005405,-0.842197883038944,-0.8199009914047111,-0.8351783156394958,0.0007687206479900204,0.02722301601246497,0.009097133072560252
27,10,-0.5679248606262883,-0.5709082127537668,-0.8285661229444007,-0.5493342280387878,0.0052530754230207975,0.4589361734062601,0.03273431729507204
27,1000,-0.5679248606262883,-0.6829592611775713,-0.6460630519109112,-0.5080007314682007,0.20255214822683928,0.13758543902877343,0.1055141856125216
27,100000,-0.5679248606262883,-0.5522007164269486,-0.5834093110800747,-0.5575264096260071,0.02768701511323119,0.027264963250086635,0.018309554170272087
27,10000000,-0.5679248606262883,-0.5700245719112623,-0.5833614317914344,-0.5575264096260071,0.0036971638865368603,0.027180657575234766,0.018309554170272087
28,10,0.5646464601477078,2.4631684367385227,0.6949967920140477,0.9733967781066895,3.3623198064398987,0.2308530046079473,0.723904862260281
28,1000,0.5646464601477078,0.5302066146578484,0.6362865248006904,0.4114695191383362,0.06099364455565739,0.12687596524423794,0.27127937890428205
28,100000,0.5646464601477078,0.5546119475035942,0.575763675820919,0.45137539505958557,0.017771319493420056,0.019688807878655668,0.20060528681697795
28,10000000,0.5646464601477078,0.5655864614777578,0.5500415938789625,0.45137539505958557,0.0016647608661251728,0.025865505762534696,0.20060528681697795
29,10,0.6256854409252208,2.2090330962900673,0.7729813476695786,1.1770577430725098,2.53058094659115,0.23541526957467104,0.8812292345047334
