Seed,Sample Size,True Effect,Effect Estimate,Cross Moment Effect Estimate,GRICA Effect Estimate
9,10000000,-0.7212222746086938,-0.319177629731613,-0.7189376432255844,-0.9644039869308472
10,10,0.7163523725109571,0.2721165535668377,0.43973885173064275,0.18846726417541504
10,1000,0.7163523725109571,0.33933494932220265,2.4390104441886757,0.48136353492736816
10,100000,0.7163523725109571,0.6996498117941478,0.8763840671375631,0.5625187754631042
10,10000000,0.7163523725109571,0.7162790708608748,0.8141424226305225,0.5625187754631042
11,10,-0.8112412785229454,-1.1493564949957733,0.6369123206491822,-2.0650599002838135
11,1000,-0.8112412785229454,-1.7322900461464064,-0.5525797425027367,-1.000448226928711
11,100000,-0.8112412785229454,-0.6852985278542291,-0.8050278666134634,-1.1148009300231934
11,10000000,-0.8112412785229454,-0.7501598435013344,-0.7983749015732188,-1.1148009300231934
12,10,0.8830914919397734,0.3865731711024115,0.5623721472429336,0.8366206288337708
12,1000,0.8830914919397734,0.7963045084934808,0.7832812514281364,0.730463445186615
12,100000,0.8830914919397734,0.9078673312174653,0.9426010221864483,0.780745804309845
12,10000000,0.8830914919397734,0.8852419829945368,0.9177113686170693,0.780745804309845
13,10,-0.7457816402862483,-0.5325317702417504,-0.08634455051598074,-0.26913005113601685
13,1000,-0.7457816402862483,1.222304476520923,-0.45100633677772106,-0.29330047965049744
13,100000,-0.7457816402862483,-0.7233707668325985,-0.7545110087922955,-0.2440171241760254
13,10000000,-0.7457816402862483,-0.20548089619935903,-0.7464995903558659,-0.2440171241760254
14,10,0.5906339012477964,1.171476983293109,0.6292249956311234,1.114744782447815
14,1000,0.5906339012477964,0.9114822216487575,0.7053496642739925,0.6146736145019531
14,100000,0.5906339012477964,1.3339009257732666,0.5966232650286873,0.7635533809661865
14,10000000,0.5906339012477964,-0.08917346185839775,0.6038358668064998,0.7635533809661865
15,10,-0.5466396337754452,-0.08873268037625653,4.123251469444457,-0.22445210814476013
15,1000,-0.5466396337754452,-0.5876021088052974,-0.3324376580948483,-0.15572994947433472
15,100000,-0.5466396337754452,-0.3980575160872338,-0.5361419040584197,-0.2503776550292969
15,10000000,-0.5466396337754452,0.24484778155064357,-0.5420330092538551,-0.2503776550292969
16,10,-0.6232592566216775,0.027777359298489502,-1.3677272345695068,-0.6095499992370605
16,1000,-0.6232592566216775,-0.7127812963027571,2.4877629645014347,-0.6110694408416748
16,100000,-0.6232592566216775,-0.5907766585848623,12.819316666650185,-0.6417716145515442
16,10000000,-0.6232592566216775,-0.5847540119349481,14.545917170089727,-0.6417716145515442
17,10,0.6511416235059146,-1.3701541275550049,-0.9065589932770665,-0.02467697486281395
17,1000,0.6511416235059146,1.550007903098855,1.311043204363683,1.3269437551498413
17,100000,0.6511416235059146,0.4769111640207483,0.9764769270304201,1.1248571872711182
17,10000000,0.6511416235059146,-22.6656613768813,0.9963042193607954,1.1248571872711182
18,10,-0.656953205636707,-0.029209238863135437,-0.3294162758847767,-0.7336586713790894
18,1000,-0.656953205636707,-0.05168898048065591,-0.5482062719647987,-1.0092644691467285
18,100000,-0.656953205636707,-0.6226683243707541,-0.6313185149854159,-0.9053695201873779
18,10000000,-0.656953205636707,-0.6555582374558098,-0.65266025501582,-0.9053695201873779
19,10,-0.5726071646461707,4.426006971878098,2.2276355996162214,-0.41885414719581604
19,1000,-0.5726071646461707,-0.11498900391555794,1.8710105199423215,-0.5068791508674622
19,100000,-0.5726071646461707,-0.45461888550464263,5.04052727468571,-0.5660725235939026
19,10000000,-0.5726071646461707,-0.6184471947243065,4.004411168313125,-0.5660725235939026
20,10,-0.6898097522700012,0.16838982442900774,-0.46813246015643073,-0.6966782808303833
20,1000,-0.6898097522700012,-0.7151180359981525,0.28077998715565183,-0.5695236325263977
